galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,            log_prior,     log_posterior,weight
                                           1.0261399420850434, 429434.9271506786, -0.02580413324190649, 429434.9013465453,   1.0
                                           1.0261399420850434, 429434.9271506786, -0.02580413324190649, 429434.9013465453,   1.0
                                           1.0261399520850434,429434.92715067836,-0.025804142987165865,429434.90134653536,   1.0
                                         0.026139942085043416, 429434.9487134114,    3.644290786356862,429438.59300419776,   1.0
                                         0.026139952085043418,429434.94871341117,    3.644290403800617,  429438.593003815,   1.0
                                          -3.9738600579149566,               nan,                 -inf,               nan,   1.0
                                          -3.9738600479149566,               nan,                 -inf,               nan,   1.0
                                         0.026139942085043416, 429434.9487134114,    3.644290786356862,429438.59300419776,   1.0
                                         0.026139952085043418,429434.94871341117,    3.644290403800617,  429438.593003815,   1.0
                                           -76.52857567848181,               nan,                 -inf,               nan,   1.0
                                           -76.52857566848182,               nan,                 -inf,               nan,   1.0
                                         0.026139942085043416, 429434.9487134114,    3.644290786356862,429438.59300419776,   1.0
                                         0.026139952085043418,429434.94871341117,    3.644290403800617,  429438.593003815,   1.0
                                         0.026139942085043416, 429434.9487134114,    3.644290786356862,429438.59300419776,   1.0
