galaxies.source.pixelization.regularization.inner_coefficient,    log_likelihood,           log_prior,    log_posterior,weight
                                            0.982299590628335,429434.92810634867, 0.01785893504950642,429434.9459652837,   1.0
                                            0.982299590628335,429434.92810634867, 0.01785893504950642,429434.9459652837,   1.0
                                           0.9822996006283351,429434.92810634844,0.017858924869312825,429434.9459652733,   1.0
                                         -0.01770040937166492,               nan,                -inf,              nan,   1.0
                                         -0.01770039937166492,               nan,                -inf,              nan,   1.0
                                            0.982299590628335,429434.92810634867, 0.01785893504950642,429434.9459652837,   1.0
                                           0.9822996006283351,429434.92810634844,0.017858924869312825,429434.9459652733,   1.0
                                            0.982299590628335,429434.92810634867, 0.01785893504950642,429434.9459652837,   1.0
